date,pm25,pm10,us_aqi
2023-01-01,9.79,14.0,57.83
2023-01-02,25.68,36.86,57.92
2023-01-03,11.97,17.21,71.79
2023-01-04,7.05,10.1,38.46
2023-01-05,8.15,11.67,29.0
2023-01-06,9.96,14.26,40.92
2023-01-07,5.45,7.81,31.92
2023-01-08,5.51,7.89,27.5
2023-01-09,7.14,10.28,24.71
2023-01-10,6.77,9.7,32.17
2023-01-11,5.92,8.58,32.79
2023-01-12,30.32,43.54,55.29
2023-01-13,3.04,4.36,64.62
2023-01-14,4.24,6.05,32.96
2023-01-15,8.26,11.8,30.12
2023-01-16,7.7,11.03,33.33
2023-01-17,17.35,24.86,44.21
2023-01-18,9.23,13.2,54.17
2023-01-19,6.85,9.83,36.04
2023-01-20,12.05,17.21,48.38
2023-01-21,4.22,6.02,33.54
2023-01-22,8.2,11.7,24.62
2023-01-23,5.95,8.5,31.79
2023-01-24,7.21,10.34,26.42
2023-01-25,9.91,14.19,40.58
2023-01-26,5.72,8.19,30.75
2023-01-27,5.68,8.13,25.25
2023-01-28,5.96,8.53,27.92
2023-01-29,10.4,14.88,36.0
2023-01-30,7.6,10.88,36.5
2023-01-31,5.6,8.0,32.0
2023-02-01,8.72,12.46,32.29
2023-02-02,12.23,17.53,46.12
2023-02-03,2.31,3.32,38.42
2023-02-04,6.31,9.04,32.67
2023-02-05,12.12,17.56,39.08
2023-02-06,9.93,14.29,46.46
2023-02-07,10.48,15.25,44.54
2023-02-08,14.46,20.73,44.92
2023-02-09,21.87,31.45,67.29
2023-02-10,5.65,8.08,52.08
2023-02-11,4.15,5.94,34.42
2023-02-12,20.23,29.12,39.58
2023-02-13,18.12,26.19,74.17
2023-02-14,17.4,25.53,56.79
2023-02-15,9.28,13.73,54.54
2023-02-16,9.57,13.68,38.62
2023-02-17,3.74,5.38,36.29
2023-02-18,8.65,12.45,35.29
2023-02-19,8.05,11.55,40.62
2023-02-20,9.37,13.45,36.54
2023-02-21,6.72,9.67,34.04
2023-02-22,4.36,6.22,34.54
2023-02-23,6.8,9.78,37.17
2023-02-24,5.23,7.48,35.5
2023-02-25,6.44,9.23,34.21
2023-02-26,12.85,18.7,43.29
2023-02-27,6.95,9.95,45.62
2023-02-28,8.35,11.97,32.96
2023-03-01,14.98,21.52,50.62
2023-03-02,16.78,24.14,57.0
2023-03-03,6.7,9.58,47.71
2023-03-04,15.9,22.75,37.46
2023-03-05,24.37,34.98,77.12
2023-03-06,19.5,28.0,66.88
2023-03-07,7.19,10.32,56.67
2023-03-08,6.0,8.59,40.71
2023-03-09,13.71,19.61,35.92
2023-03-10,8.55,12.2,56.58
2023-03-11,7.3,10.44,34.42
2023-03-12,10.64,15.2,42.21
2023-03-13,12.98,18.55,45.67
2023-03-14,4.47,6.4,43.17
2023-03-15,13.35,19.1,43.38
2023-03-16,24.89,35.6,66.29
2023-03-17,12.09,17.45,68.5
2023-03-18,4.65,6.65,40.29
2023-03-19,4.25,6.08,43.75
2023-03-20,10.45,14.97,39.62
2023-03-21,19.62,28.13,49.38
2023-03-22,23.57,33.84,70.29
2023-03-23,17.71,25.41,76.04
2023-03-24,15.16,21.65,51.04
2023-03-25,12.8,18.32,61.88
2023-03-26,9.71,13.94,41.42
2023-03-27,22.2,31.86,57.79
2023-03-28,27.34,39.21,79.5
2023-03-29,14.09,20.2,72.12
2023-03-30,5.75,8.2,46.08
2023-03-31,20.61,29.53,50.96
