date,temp_max,temp_min,precipitation,pm25,pm10,us_aqi,bad_weather_day,bad_air_day,holiday_name,federal_holiday,province,is_holiday,day_type
2025-01-01,4.0,0.5,2.0,2.62,2.68,25.0,False,False,New Year’s Day,1,ON,1,Holiday
2025-01-02,0.8,-2.5,0.0,1.85,1.88,24.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-01-03,-0.2,-5.6,0.1,1.62,1.7,30.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-04,-2.1,-5.2,0.8,1.23,1.28,37.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-05,-1.9,-4.5,0.4,1.85,1.88,35.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-06,-3.6,-9.8,0.0,2.8,3.17,30.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-07,-4.8,-9.5,0.2,1.47,1.55,33.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-08,-7.0,-12.9,0.1,1.93,2.0,35.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-09,-6.9,-10.1,0.0,3.08,3.38,35.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-10,-2.2,-11.7,1.9,6.23,6.48,30.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-11,-1.8,-4.9,3.0,10.78,10.88,34.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-12,0.5,-2.2,0.9,14.28,14.4,52.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-01-13,1.4,-4.8,2.1,5.25,5.32,43.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-01-14,-5.5,-8.1,0.0,3.05,3.12,31.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-15,-3.3,-8.9,0.1,4.57,4.58,29.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-16,-3.9,-7.7,1.5,8.78,8.89,28.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-17,2.3,-3.3,0.1,7.53,7.65,34.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-01-18,2.8,-3.8,3.9,8.17,8.39,42.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-01-19,-4.2,-8.6,0.5,3.77,4.18,30.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-20,-8.9,-15.3,0.0,5.66,6.4,28.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-21,-11.1,-15.2,0.0,8.53,9.82,31.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-22,-7.7,-18.3,0.7,8.46,9.17,40.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-23,-4.4,-7.6,1.1,9.27,9.7,34.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-24,-5.5,-12.4,0.2,9.71,9.94,38.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-25,-1.5,-9.6,0.0,16.19,16.59,48.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-26,-0.4,-3.4,0.6,6.89,7.01,52.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-27,-0.1,-5.3,0.7,6.51,6.76,32.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-28,0.8,-11.4,3.4,5.68,6.26,34.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-01-29,2.2,-9.1,1.7,4.19,4.43,33.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-01-30,-0.2,-12.2,0.0,10.47,11.55,29.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-01-31,2.0,-1.9,0.8,18.42,18.59,56.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-02-01,-3.8,-14.4,0.0,5.97,6.98,47.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-02,-2.1,-13.0,1.2,8.24,8.97,32.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-03,1.5,-4.8,4.2,15.68,16.05,52.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-02-04,-0.2,-9.3,0.4,4.26,4.68,43.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-05,-5.9,-10.7,0.0,8.34,9.22,29.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-06,0.8,-5.1,2.6,8.06,8.25,38.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-02-07,-0.1,-7.8,0.6,4.59,4.76,33.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-08,-2.1,-10.3,5.1,8.92,9.1,31.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-09,-0.5,-4.9,5.2,7.82,8.0,36.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-10,-4.8,-7.8,0.0,7.68,7.88,34.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-11,-3.7,-9.8,0.2,13.42,13.87,47.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-12,-2.2,-10.3,7.0,6.29,6.66,42.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-13,2.0,-5.8,12.0,5.08,5.16,31.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-14,-5.6,-7.9,0.0,10.21,10.7,36.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-15,-0.1,-8.9,8.4,13.82,14.32,55.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-16,-3.1,-7.4,19.8,5.42,5.76,37.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-17,-7.5,-11.4,0.3,3.9,4.48,35.0,True,False,Family Day,0,ON,1,Holiday
2025-02-18,-8.4,-12.4,2.0,3.85,4.33,35.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-19,-8.5,-15.1,0.8,8.69,9.42,30.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-20,-8.9,-12.3,0.6,6.76,7.79,37.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-21,-6.6,-12.3,0.0,7.1,8.64,34.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-22,-3.0,-11.0,0.1,20.27,21.86,50.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-23,-0.2,-3.7,0.2,24.82,25.95,70.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-24,4.1,-2.6,0.0,24.96,26.32,85.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-02-25,4.2,1.7,0.3,23.83,24.92,70.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-02-26,2.4,-4.1,0.0,23.51,23.92,69.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-02-27,3.2,-0.6,5.4,21.12,21.79,86.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-02-28,3.5,-7.9,1.3,5.88,6.42,45.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-03-01,3.8,-11.7,0.1,4.65,5.12,35.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-03-02,-5.9,-19.8,0.1,8.7,9.35,32.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-03-03,1.0,-10.1,0.0,13.91,14.24,47.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-03-04,4.1,-2.0,0.8,20.03,21.0,57.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-03-05,6.8,2.0,15.1,12.15,12.62,64.0,True,False,No Holiday,0,ON,0,Non-holiday
2025-03-06,4.0,-4.9,1.5,2.72,2.82,37.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-03-07,0.3,-3.7,0.1,3.75,4.05,43.0,False,False,No Holiday,0,ON,0,Non-holiday
2025-03-08,-1.4,-7.4,3.5,4.53,4.68,38.0,True,False,No Holiday,0,ON,0,Non-holiday
