date,pm25,pm10,us_aqi
2025-01-01,2.62,2.68,24.79
2025-01-02,1.85,1.88,24.38
2025-01-03,1.62,1.7,29.58
2025-01-04,1.23,1.28,36.83
2025-01-05,1.85,1.88,34.62
2025-01-06,2.8,3.17,30.33
2025-01-07,1.47,1.55,32.71
2025-01-08,1.93,2.0,35.04
2025-01-09,3.08,3.38,34.54
2025-01-10,6.23,6.48,29.5
2025-01-11,10.78,10.88,33.54
2025-01-12,14.28,14.4,52.5
2025-01-13,5.25,5.32,43.17
2025-01-14,3.05,3.12,31.46
2025-01-15,4.57,4.58,29.25
2025-01-16,8.78,8.89,28.17
2025-01-17,7.53,7.65,33.92
2025-01-18,8.17,8.39,42.5
2025-01-19,3.77,4.18,30.42
2025-01-20,5.66,6.4,28.25
2025-01-21,8.53,9.82,30.62
2025-01-22,8.46,9.17,39.75
2025-01-23,9.27,9.7,34.33
2025-01-24,9.71,9.94,38.29
2025-01-25,16.19,16.59,47.96
2025-01-26,6.89,7.01,51.92
2025-01-27,6.51,6.76,31.71
2025-01-28,5.68,6.26,34.17
2025-01-29,4.19,4.43,33.46
2025-01-30,10.47,11.55,29.38
2025-01-31,18.42,18.59,56.12
2025-02-01,5.97,6.98,46.75
2025-02-02,8.24,8.97,31.96
2025-02-03,15.68,16.05,51.67
2025-02-04,4.26,4.68,42.62
2025-02-05,8.34,9.22,29.08
2025-02-06,8.06,8.25,38.25
2025-02-07,4.59,4.76,32.71
2025-02-08,8.92,9.1,31.42
2025-02-09,7.82,8.0,36.25
2025-02-10,7.68,7.88,33.5
2025-02-11,13.42,13.87,46.92
2025-02-12,6.29,6.66,42.04
2025-02-13,5.08,5.16,31.46
2025-02-14,10.21,10.7,36.12
2025-02-15,13.82,14.32,55.46
2025-02-16,5.42,5.76,37.42
2025-02-17,3.9,4.48,35.42
2025-02-18,3.85,4.33,34.71
2025-02-19,8.69,9.42,30.21
2025-02-20,6.76,7.79,36.58
2025-02-21,7.1,8.64,33.75
2025-02-22,20.27,21.86,49.67
2025-02-23,24.82,25.95,70.38
2025-02-24,24.96,26.32,84.58
2025-02-25,23.83,24.92,70.46
2025-02-26,23.51,23.92,68.83
2025-02-27,21.12,21.79,85.96
2025-02-28,5.88,6.42,44.62
2025-03-01,4.65,5.12,34.62
2025-03-02,8.7,9.35,31.96
2025-03-03,13.91,14.24,46.58
2025-03-04,20.03,21.0,57.33
2025-03-05,12.15,12.62,64.17
2025-03-06,2.72,2.82,36.54
2025-03-07,3.75,4.05,42.58
2025-03-08,4.53,4.68,38.29
2025-03-09,11.22,11.7,35.58
2025-03-10,15.98,16.54,52.42
2025-03-11,5.38,5.58,48.54
2025-03-12,4.98,5.52,34.67
2025-03-13,23.53,24.84,42.17
2025-03-14,39.29,40.88,109.88
2025-03-15,15.92,16.43,77.12
2025-03-16,6.7,7.02,47.67
2025-03-17,7.14,7.5,32.08
2025-03-18,12.64,12.76,42.5
2025-03-19,11.67,11.73,50.54
2025-03-20,8.01,8.43,46.17
2025-03-21,7.09,7.96,36.92
2025-03-22,4.95,5.22,34.21
2025-03-23,3.52,3.68,35.88
2025-03-24,6.86,7.08,34.17
2025-03-25,3.34,3.44,32.58
2025-03-26,5.65,6.26,33.71
2025-03-27,7.54,7.91,35.42
2025-03-28,6.4,6.7,32.67
2025-03-29,7.62,8.31,34.96
2025-03-30,12.65,12.9,39.21
2025-03-31,5.62,5.77,44.33
2025-04-01,9.95,11.81,40.04
2025-04-02,10.41,11.39,43.17
2025-04-03,11.02,11.82,49.62
2025-04-04,11.56,11.58,37.83
2025-04-05,10.36,10.6,47.92
2025-04-06,6.54,7.81,43.25
2025-04-07,13.22,15.28,41.88
2025-04-08,4.54,5.28,44.04
2025-04-09,11.2,12.34,40.58
2025-04-10,13.75,14.68,55.96
2025-04-11,9.42,9.84,42.21
2025-04-12,14.63,14.89,40.42
2025-04-13,21.52,22.3,71.83
2025-04-14,12.96,13.65,57.38
2025-04-15,5.29,5.46,43.92
2025-04-16,2.22,2.52,38.25
2025-04-17,9.64,10.6,32.38
2025-04-18,14.33,14.75,47.25
2025-04-19,10.18,10.49,57.42
2025-04-20,11.07,12.34,36.38
2025-04-21,12.2,13.59,54.38
2025-04-22,6.18,6.36,45.46
2025-04-23,10.88,11.1,31.67
2025-04-24,25.87,27.11,58.17
2025-04-25,13.12,13.56,73.5
2025-04-26,6.45,6.83,42.58
2025-04-27,9.97,11.67,38.62
2025-04-28,19.77,20.05,49.5
2025-04-29,8.92,9.18,58.88
2025-04-30,7.95,7.95,32.17
2025-05-01,10.85,11.17,46.71
2025-05-02,12.82,13.02,48.0
2025-05-03,8.81,8.94,37.83
2025-05-04,12.41,12.73,53.29
2025-05-05,5.88,6.06,37.79
2025-05-06,21.45,21.8,36.5
2025-05-07,18.32,18.63,79.88
2025-05-08,8.97,9.27,44.46
2025-05-09,16.24,16.62,54.46
2025-05-10,8.46,8.58,46.21
2025-05-11,6.36,6.62,36.67
2025-05-12,22.32,22.45,39.38
2025-05-13,18.89,19.01,83.5
2025-05-14,6.37,6.49,42.5
2025-05-15,16.73,16.8,41.83
2025-05-16,17.01,17.36,62.5
2025-05-17,10.0,10.25,55.67
2025-05-18,4.96,5.03,34.0
2025-05-19,5.32,5.51,26.71
2025-05-20,3.98,4.13,29.12
2025-05-21,6.79,6.83,28.33
2025-05-22,5.48,5.49,25.58
2025-05-23,5.37,5.38,25.71
2025-05-24,6.1,6.15,25.25
2025-05-25,7.89,8.16,25.29
2025-05-26,19.81,20.08,45.33
2025-05-27,27.45,27.57,81.5
2025-05-28,12.78,13.1,70.33
2025-05-29,14.6,14.67,43.88
2025-05-30,15.07,15.48,58.12
2025-05-31,7.12,7.25,51.17
2025-06-01,6.7,6.85,30.08
2025-06-02,19.46,19.81,52.0
2025-06-03,33.6,34.49,78.0
2025-06-04,22.79,23.37,95.75
2025-06-05,42.14,43.3,93.38
2025-06-06,57.17,58.39,133.75
2025-06-07,33.66,34.3,126.33
2025-06-08,31.52,32.11,96.04
2025-06-09,25.82,26.06,88.25
2025-06-10,21.14,21.31,71.5
2025-06-11,22.21,22.27,80.79
2025-06-12,17.45,17.95,65.5
2025-06-13,8.89,8.95,50.12
2025-06-14,10.24,10.86,42.0
2025-06-15,10.41,10.73,51.46
2025-06-16,19.47,19.92,62.38
2025-06-17,19.58,19.63,74.83
2025-06-18,20.43,20.89,60.83
2025-06-19,8.92,9.08,59.33
2025-06-20,18.18,18.62,48.33
2025-06-21,18.76,19.25,78.38
2025-06-22,17.53,17.92,71.71
2025-06-23,13.18,13.79,72.75
2025-06-24,8.48,8.8,60.5
2025-06-25,17.25,18.16,61.29
2025-06-26,7.22,7.42,59.38
2025-06-27,13.0,13.22,44.29
2025-06-28,11.88,12.16,53.46
2025-06-29,17.6,17.72,62.0
2025-06-30,16.31,16.41,80.08
2025-07-01,9.6,9.7,55.71
2025-07-02,9.3,9.49,42.83
2025-07-03,12.71,13.25,49.67
2025-07-04,15.14,15.35,49.0
2025-07-05,24.56,25.27,93.25
2025-07-06,11.7,11.82,92.54
2025-07-07,9.09,9.17,68.75
2025-07-08,12.19,12.39,56.42
