date,temp_max,temp_min,precipitation
2025-01-01,4.0,0.5,2.0
2025-01-02,0.8,-2.5,0.0
2025-01-03,-0.2,-5.6,0.1
2025-01-04,-2.1,-5.2,0.8
2025-01-05,-1.9,-4.5,0.4
2025-01-06,-3.6,-9.8,0.0
2025-01-07,-4.8,-9.5,0.2
2025-01-08,-7.0,-12.9,0.1
2025-01-09,-6.9,-10.1,0.0
2025-01-10,-2.2,-11.7,1.9
2025-01-11,-1.8,-4.9,3.0
2025-01-12,0.5,-2.2,0.9
2025-01-13,1.4,-4.8,2.1
2025-01-14,-5.5,-8.1,0.0
2025-01-15,-3.3,-8.9,0.1
2025-01-16,-3.9,-7.7,1.5
2025-01-17,2.3,-3.3,0.1
2025-01-18,2.8,-3.8,3.9
2025-01-19,-4.2,-8.6,0.5
2025-01-20,-8.9,-15.3,0.0
2025-01-21,-11.1,-15.2,0.0
2025-01-22,-7.7,-18.3,0.7
2025-01-23,-4.4,-7.6,1.1
2025-01-24,-5.5,-12.4,0.2
2025-01-25,-1.5,-9.6,0.0
2025-01-26,-0.4,-3.4,0.6
2025-01-27,-0.1,-5.3,0.7
2025-01-28,0.8,-11.4,3.4
2025-01-29,2.2,-9.1,1.7
2025-01-30,-0.2,-12.2,0.0
2025-01-31,2.0,-1.9,0.8
2025-02-01,-3.8,-14.4,0.0
2025-02-02,-2.1,-13.0,1.2
2025-02-03,1.5,-4.8,4.2
2025-02-04,-0.2,-9.3,0.4
2025-02-05,-5.9,-10.7,0.0
2025-02-06,0.8,-5.1,2.6
2025-02-07,-0.1,-7.8,0.6
2025-02-08,-2.1,-10.3,5.1
2025-02-09,-0.5,-4.9,5.2
2025-02-10,-4.8,-7.8,0.0
2025-02-11,-3.7,-9.8,0.2
2025-02-12,-2.2,-10.3,7.0
2025-02-13,2.0,-5.8,12.0
2025-02-14,-5.6,-7.9,0.0
2025-02-15,-0.1,-8.9,8.4
2025-02-16,-3.1,-7.4,19.8
2025-02-17,-7.5,-11.4,0.3
2025-02-18,-8.4,-12.4,2.0
2025-02-19,-8.5,-15.1,0.8
2025-02-20,-8.9,-12.3,0.6
2025-02-21,-6.6,-12.3,0.0
2025-02-22,-3.0,-11.0,0.1
2025-02-23,-0.2,-3.7,0.2
2025-02-24,4.1,-2.6,0.0
2025-02-25,4.2,1.7,0.3
2025-02-26,2.4,-4.1,0.0
2025-02-27,3.2,-0.6,5.4
2025-02-28,3.5,-7.9,1.3
2025-03-01,3.8,-11.7,0.1
2025-03-02,-5.9,-19.8,0.1
2025-03-03,1.0,-10.1,0.0
2025-03-04,4.1,-2.0,0.8
2025-03-05,6.8,2.0,15.1
2025-03-06,4.0,-4.9,1.5
2025-03-07,0.3,-3.7,0.1
2025-03-08,-1.4,-7.4,3.5
2025-03-09,4.6,-3.8,0.0
2025-03-10,7.7,0.5,0.0
2025-03-11,10.0,-1.8,0.0
2025-03-12,0.5,-4.6,0.0
2025-03-13,6.3,-1.5,0.0
2025-03-14,7.7,-1.1,0.0
2025-03-15,13.4,6.1,1.4
2025-03-16,13.9,3.6,24.2
2025-03-17,5.1,-2.3,0.0
2025-03-18,11.8,-0.0,0.0
2025-03-19,16.7,4.7,0.0
2025-03-20,11.3,0.8,2.3
2025-03-21,6.9,-2.0,0.0
2025-03-22,6.7,-3.9,0.1
2025-03-23,0.1,-4.1,0.0
2025-03-24,6.6,0.5,4.5
2025-03-25,3.7,-0.6,0.4
2025-03-26,2.6,-2.0,0.5
2025-03-27,9.5,-2.9,0.0
2025-03-28,4.0,-0.6,7.9
2025-03-29,2.5,0.3,7.5
2025-03-30,7.1,0.1,9.1
2025-03-31,11.5,0.2,0.9
2025-04-01,3.5,-2.3,0.0
